słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfa
enighed, 0.00002%, 0.09254
nede, 0.00002%, 0.09256
warszawa, 0.00002%, 0.09258
event, 0.00002%, 0.09255
omgange, 0.00002%, 0.09257
sårede, 0.00002%, 0.09259
sammensat, 0.00002%, 0.09256
omsætning, 0.00002%, 0.09258
price, 0.00002%, 0.09255
påbegyndt, 0.00002%, 0.09253
flygtninge, 0.00002%, 0.09255
studio, 0.00002%, 0.09256
take, 0.00002%, 0.09258
kåre, 0.00002%, 0.09256
bosat, 0.00002%, 0.09253
robinson, 0.00002%, 0.09255
divisioner, 0.00002%, 0.09257
bruno, 0.00002%, 0.09254
slotte, 0.00002%, 0.09256
vanskeligt, 0.00002%, 0.09258
mario, 0.00002%, 0.09260
udspring, 0.00002%, 0.09247
showet, 0.00002%, 0.09249
ressourcer, 0.00002%, 0.09242
helen, 0.00002%, 0.09244
guder, 0.00002%, 0.09246
ejendomme, 0.00002%, 0.09248
lovgivning, 0.00002%, 0.09245
colombia, 0.00002%, 0.09247
kemisk, 0.00002%, 0.09244
konflikten, 0.00002%, 0.09246
lægges, 0.00002%, 0.09243
overfladen, 0.00002%, 0.09245
stockholms, 0.00002%, 0.09247
ustring, 0.00002%, 0.09249
oprettelse, 0.00002%, 0.09246
hard, 0.00002%, 0.09248
foreninger, 0.00002%, 0.09250
præg, 0.00002%, 0.09252
idømt, 0.00002%, 0.09254
operationer, 0.00002%, 0.09256
pia, 0.00002%, 0.09257
rangers, 0.00002%, 0.09255
kategoriamerikansk, 0.00002%, 0.09257
water, 0.00002%, 0.09254
korn, 0.00002%, 0.09256
kristeligt, 0.00002%, 0.09258
solid, 0.00002%, 0.09260
find, 0.00002%, 0.09257
sundhed, 0.00002%, 0.09259
kopi, 0.00002%, 0.09261
holst, 0.00002%, 0.09262
beviser, 0.00002%, 0.09264
chance, 0.00002%, 0.09266
huser, 0.00002%, 0.09254
amts, 0.00002%, 0.09256
cirkus, 0.00002%, 0.09258
frederick, 0.00002%, 0.09255
synger, 0.00002%, 0.09252
erobre, 0.00002%, 0.09254
tænke, 0.00002%, 0.09256
konstantin, 0.00002%, 0.09258
hart, 0.00002%, 0.09260
aus, 0.00002%, 0.09257
mathilde, 0.00002%, 0.09254
besatte, 0.00002%, 0.09256
nederste, 0.00002%, 0.09253
virkelige, 0.00002%, 0.09255
download, 0.00002%, 0.09257
rækkefølge, 0.00002%, 0.09254
traditioner, 0.00002%, 0.09256
sælges, 0.00002%, 0.09258
australsk, 0.00002%, 0.09260
principper, 0.00002%, 0.09257
falde, 0.00002%, 0.09254
alvorlig, 0.00002%, 0.09256
bjergene, 0.00002%, 0.09258
january, 0.00002%, 0.09260
begået, 0.00002%, 0.09262
overgang, 0.00002%, 0.09259
jørn, 0.00002%, 0.09261
blandede, 0.00002%, 0.09263
illinois, 0.00002%, 0.09264
jpg, 0.00002%, 0.09262
athletic, 0.00002%, 0.09263
billedkunstner, 0.00002%, 0.09265
vikingetiden, 0.00002%, 0.09262
vera, 0.00002%, 0.09260
kunsten, 0.00002%, 0.09257
magasin, 0.00002%, 0.09259
kejseren, 0.00002%, 0.09260
stars, 0.00002%, 0.09262
gran, 0.00002%, 0.09259
vild, 0.00002%, 0.09261
forklare, 0.00002%, 0.09258
hockey, 0.00002%, 0.09260
videnskabelig, 0.00002%, 0.09257
serier, 0.00002%, 0.09255
apple, 0.00002%, 0.09256
medvirker, 0.00002%, 0.09258
stavanger, 0.00002%, 0.09255
ledelsen, 0.00002%, 0.09257
byråd, 0.00002%, 0.09259
bryan, 0.00002%, 0.09261
øl, 0.00002%, 0.09258
forsker, 0.00002%, 0.09255
ag, 0.00002%, 0.09257
run, 0.00002%, 0.09259
been, 0.00002%, 0.09256
carlo, 0.00002%, 0.09258
nato, 0.00002%, 0.09255
lau, 0.00002%, 0.09257
tyskromerske, 0.00002%, 0.09259
un, 0.00002%, 0.09261
begrundelse, 0.00002%, 0.09253
oplevelser, 0.00002%, 0.09255
flugt, 0.00002%, 0.09252
opføre, 0.00002%, 0.09254
sciences, 0.00002%, 0.09256
baner, 0.00002%, 0.09248
dannelsen, 0.00002%, 0.09250
monaco, 0.00002%, 0.09252
mag, 0.00002%, 0.09249
bakker, 0.00002%, 0.09246
diskussionsside, 0.00002%, 0.09248
venus, 0.00002%, 0.09250
dresden, 0.00002%, 0.09252
blomsterne, 0.00002%, 0.09253
audi, 0.00002%, 0.09255
fokuserer, 0.00002%, 0.09252
føler, 0.00002%, 0.09249
forbud, 0.00002%, 0.09251
kategorifodboldklubber, 0.00002%, 0.09253
generel, 0.00002%, 0.09250
nedsat, 0.00002%, 0.09252
forskelle, 0.00002%, 0.09249
distrikter, 0.00002%, 0.09251
tunesien, 0.00002%, 0.09253
jeff, 0.00002%, 0.09250
source, 0.00002%, 0.09247
beordrede, 0.00002%, 0.09249
onde, 0.00002%, 0.09251
call, 0.00002%, 0.09253
adolph, 0.00002%, 0.09250
fin, 0.00002%, 0.09252
girls, 0.00002%, 0.09253
slaver, 0.00002%, 0.09255
lyon, 0.00002%, 0.09257
foreslår, 0.00002%, 0.09254
læste, 0.00002%, 0.09256
wayne, 0.00002%, 0.09258
minnesota, 0.00002%, 0.09255
målmand, 0.00002%, 0.09252
scale, 0.00002%, 0.09254
departementet, 0.00002%, 0.09256
deltagerne, 0.00002%, 0.09253
bokser, 0.00002%, 0.09255
bemærket, 0.00002%, 0.09252
salmonsens, 0.00002%, 0.09254
trommeslager, 0.00002%, 0.09255
four, 0.00002%, 0.09257
vin, 0.00002%, 0.09259
clara, 0.00002%, 0.09261
mix, 0.00002%, 0.09263
noteret, 0.00002%, 0.09260
klassen, 0.00002%, 0.09262
atlas, 0.00002%, 0.09259
kategorifilminstruktører, 0.00002%, 0.09261
åbningen, 0.00002%, 0.09258
mængden, 0.00002%, 0.09260
kaare, 0.00002%, 0.09257
fjernes, 0.00002%, 0.09258
kunnet, 0.00002%, 0.09260
etter, 0.00002%, 0.09262
markerede, 0.00002%, 0.09259
change, 0.00002%, 0.09261
eksil, 0.00002%, 0.09263
studios, 0.00002%, 0.09265
dukker, 0.00002%, 0.09257
uppsala, 0.00002%, 0.09259
kendskab, 0.00002%, 0.09261
kjeld, 0.00002%, 0.09263
kristus, 0.00002%, 0.09259
margrete, 0.00002%, 0.09261
negative, 0.00002%, 0.09258
ps, 0.00002%, 0.09260
bevidst, 0.00002%, 0.09257
købstad, 0.00002%, 0.09259
maleren, 0.00002%, 0.09261
wwe, 0.00002%, 0.09263
kategoritennisspillere, 0.00002%, 0.09265
bogstaver, 0.00002%, 0.09262
længdekreds, 0.00002%, 0.09263
opus, 0.00002%, 0.09260
udendørs, 0.00002%, 0.09257
ulrich, 0.00002%, 0.09259
ditlev, 0.00002%, 0.09261
ballerup, 0.00002%, 0.09253
ice, 0.00002%, 0.09255
mountain, 0.00002%, 0.09257
globale, 0.00002%, 0.09254
succesfulde, 0.00002%, 0.09256
englands, 0.00002%, 0.09257
costa, 0.00002%, 0.09259
kode, 0.00002%, 0.09256
enden, 0.00002%, 0.09258
department, 0.00002%, 0.09255
afløste, 0.00002%, 0.09257
urban, 0.00002%, 0.09259
vedtog, 0.00002%, 0.09256
kontrollen, 0.00002%, 0.09253
kejserlige, 0.00002%, 0.09254
semifinalerne, 0.00002%, 0.09251
flight, 0.00002%, 0.09243
council, 0.00002%, 0.09245
hærværk, 0.00002%, 0.09242
sygdommen, 0.00002%, 0.09244
ruth, 0.00002%, 0.09246
herredouble, 0.00002%, 0.09248
opvokset, 0.00002%, 0.09245
krise, 0.00002%, 0.09246
pension, 0.00002%, 0.09248
through, 0.00002%, 0.09250
danny, 0.00002%, 0.09242
between, 0.00002%, 0.09244
herregård, 0.00002%, 0.09246
technology, 0.00002%, 0.09243
kød, 0.00002%, 0.09240
nature, 0.00002%, 0.09241
tillod, 0.00002%, 0.09243
enkeltstart, 0.00002%, 0.09245
carlsen, 0.00002%, 0.09242
carlsberg, 0.00002%, 0.09244
forsanger, 0.00002%, 0.09246
landskabsmaleri, 0.00002%, 0.09243
cooper, 0.00002%, 0.09245
turister, 0.00002%, 0.09236
alexandra, 0.00002%, 0.09238
kategorigodsejere, 0.00002%, 0.09240
specifikke, 0.00002%, 0.09237
bebyggelsen, 0.00002%, 0.09239
marco, 0.00002%, 0.09236
optræde, 0.00002%, 0.09238
troels, 0.00002%, 0.09239
literblyfri, 0.00002%, 0.09241
fusion, 0.00002%, 0.09238
films, 0.00002%, 0.09240
kategorilitteratur, 0.00002%, 0.09237
voice, 0.00002%, 0.09239
helena, 0.00002%, 0.09241
portrætter, 0.00002%, 0.09242
richards, 0.00002%, 0.09244
arbejdere, 0.00002%, 0.09246
døbt, 0.00002%, 0.09248
praktiske, 0.00002%, 0.09240
ringer, 0.00002%, 0.09242
vedvarende, 0.00002%, 0.09239
glostrup, 0.00002%, 0.09240
cecilie, 0.00002%, 0.09242
tiltrådte, 0.00002%, 0.09239
hjørne, 0.00002%, 0.09241
prince, 0.00002%, 0.09243
tone, 0.00002%, 0.09240
nordre, 0.00002%, 0.09241
points, 0.00002%, 0.09243
kategorikultur, 0.00002%, 0.09240
geologiske, 0.00002%, 0.09242
glas, 0.00002%, 0.09239
emanuel, 0.00002%, 0.09241
børge, 0.00002%, 0.09237
udstillingen, 0.00002%, 0.09239
hessen, 0.00002%, 0.09236
klein, 0.00002%, 0.09238
tanken, 0.00002%, 0.09240
algeriet, 0.00002%, 0.09242
wood, 0.00002%, 0.09238
grønlandske, 0.00002%, 0.09240
lavt, 0.00002%, 0.09237
morris, 0.00002%, 0.09239
hjemlandet, 0.00002%, 0.09236
myndighed, 0.00002%, 0.09233
fås, 0.00002%, 0.09234
rønne, 0.00002%, 0.09236
klubkarriere, 0.00002%, 0.09238
introducerede, 0.00002%, 0.09235
felix, 0.00002%, 0.09237
foreningens, 0.00002%, 0.09234
bundet, 0.00002%, 0.09235
fæstning, 0.00002%, 0.09237
plader, 0.00002%, 0.09239
millennium, 0.00002%, 0.09241
afgørelse, 0.00002%, 0.09238
faxe, 0.00002%, 0.09235
køretøjer, 0.00002%, 0.09236
hobro, 0.00002%, 0.09238
værd, 0.00002%, 0.09235
samlingen, 0.00002%, 0.09237
fyrste, 0.00002%, 0.09234
ron, 0.00002%, 0.09230
hej, 0.00002%, 0.09232
redigeret, 0.00002%, 0.09229
palace, 0.00002%, 0.09231
godset, 0.00002%, 0.09228
lide, 0.00002%, 0.09229
underviste, 0.00002%, 0.09231
luftvåben, 0.00002%, 0.09228
israelske, 0.00002%, 0.09230
tilstrækkeligt, 0.00002%, 0.09227
marc, 0.00002%, 0.09228
udgive, 0.00002%, 0.09225
operaen, 0.00002%, 0.09227
ekspeditionen, 0.00002%, 0.09229
val, 0.00002%, 0.09231
box, 0.00002%, 0.09233
opfundet, 0.00002%, 0.09229
midlertidigt, 0.00002%, 0.09231
lone, 0.00002%, 0.09233
item, 0.00002%, 0.09235
pxde, 0.00002%, 0.09237
reserve, 0.00002%, 0.09233
individer, 0.00002%, 0.09235
channel, 0.00002%, 0.09237
begivenhed, 0.00002%, 0.09234
medstifter, 0.00002%, 0.09231
bekræftet, 0.00002%, 0.09232
datidens, 0.00002%, 0.09229
konstruktion, 0.00002%, 0.09231
arealer, 0.00002%, 0.09233
folketingets, 0.00002%, 0.09230
dyb, 0.00002%, 0.09231
piano, 0.00002%, 0.09233
dybde, 0.00002%, 0.09230
ukendte, 0.00002%, 0.09232
teorien, 0.00002%, 0.09234
træning, 0.00002%, 0.09235
thumbden, 0.00002%, 0.09232
indendørs, 0.00002%, 0.09234
nordafrika, 0.00002%, 0.09236
konversationsleksikon, 0.00002%, 0.09238
kunstakademiet, 0.00002%, 0.09239
afgang, 0.00002%, 0.09241
tivoli, 0.00002%, 0.09238
kommunale, 0.00002%, 0.09240
voldsomt, 0.00002%, 0.09242
regnet, 0.00002%, 0.09238
gymnastik, 0.00002%, 0.09240
malmø, 0.00002%, 0.09242
warren, 0.00002%, 0.09244
hertugen, 0.00002%, 0.09246
ajax, 0.00002%, 0.09247
dnf, 0.00002%, 0.09249
fortælling, 0.00002%, 0.09246
sporet, 0.00002%, 0.09248
læger, 0.00002%, 0.09239
stranden, 0.00002%, 0.09241
jur, 0.00002%, 0.09243
reformer, 0.00002%, 0.09240
imperium, 0.00002%, 0.09242
collins, 0.00002%, 0.09238
tørre, 0.00002%, 0.09240
dna, 0.00002%, 0.09237
forskellen, 0.00002%, 0.09239
kasakhstan, 0.00002%, 0.09230
håber, 0.00002%, 0.09227
elite, 0.00002%, 0.09229
dc, 0.00002%, 0.09230
driften, 0.00002%, 0.09232
operaer, 0.00002%, 0.09229
seriens, 0.00002%, 0.09231
udføres, 0.00002%, 0.09227
datteren, 0.00002%, 0.09229
hærens, 0.00002%, 0.09226
biography, 0.00002%, 0.09228
gustaf, 0.00002%, 0.09224
franois, 0.00002%, 0.09226
regerede, 0.00002%, 0.09228
frø, 0.00002%, 0.09230
tænkt, 0.00002%, 0.09232
rådgiver, 0.00002%, 0.09228
christiania, 0.00002%, 0.09230
hæder, 0.00002%, 0.09232
remix, 0.00002%, 0.09234
generalløjtnant, 0.00002%, 0.09236
fordele, 0.00002%, 0.09232
manuskriptet, 0.00002%, 0.09234
arrangementer, 0.00002%, 0.09236
atlanterhavet, 0.00002%, 0.09238
category, 0.00002%, 0.09234
bonde, 0.00002%, 0.09231
brandt, 0.00002%, 0.09233
preussiske, 0.00002%, 0.09235
ansigt, 0.00002%, 0.09236
landsbyerne, 0.00002%, 0.09233
ødelagde, 0.00002%, 0.09230
marshall, 0.00002%, 0.09226
artist, 0.00002%, 0.09228
schweiziske, 0.00002%, 0.09225
montenegro, 0.00002%, 0.09221
taiwan, 0.00002%, 0.09218
fair, 0.00002%, 0.09220
frygt, 0.00002%, 0.09211
kunstnerisk, 0.00002%, 0.09213
afhandling, 0.00002%, 0.09215
tilbød, 0.00002%, 0.09212
medicinsk, 0.00002%, 0.09213
kategorisportsfolk, 0.00002%, 0.09215
bruxelles, 0.00002%, 0.09212
typen, 0.00002%, 0.09214
traktaten, 0.00002%, 0.09215
fredag, 0.00002%, 0.09217
action, 0.00002%, 0.09219
globe, 0.00002%, 0.09221
stemt, 0.00002%, 0.09217
opbygget, 0.00002%, 0.09219
illustreret, 0.00002%, 0.09221
besked, 0.00002%, 0.09223
relation, 0.00002%, 0.09219
bidraget, 0.00002%, 0.09221
frederikke, 0.00002%, 0.09223
filosofiske, 0.00002%, 0.09225
rantzau, 0.00002%, 0.09221
syddansk, 0.00002%, 0.09218
ho, 0.00002%, 0.09220
dakota, 0.00002%, 0.09221
avancerede, 0.00002%, 0.09218
nigeria, 0.00002%, 0.09220
middelalder, 0.00002%, 0.09216
bevægelsen, 0.00002%, 0.09218
eduard, 0.00002%, 0.09220
afc, 0.00002%, 0.09222
værste, 0.00002%, 0.09218
flade, 0.00002%, 0.09220
ønsket, 0.00002%, 0.09217
olesen, 0.00002%, 0.09219
angives, 0.00002%, 0.09215
diplomat, 0.00002%, 0.09212
example, 0.00002%, 0.09214
komplet, 0.00002%, 0.09210
forrige, 0.00002%, 0.09212
indfødte, 0.00002%, 0.09209
luke, 0.00002%, 0.09210
lærere, 0.00002%, 0.09212
smule, 0.00002%, 0.09209
damedouble, 0.00002%, 0.09210
palæstina, 0.00002%, 0.09207
beretning, 0.00002%, 0.09209
fysiker, 0.00002%, 0.09211
had, 0.00002%, 0.09212
prøvede, 0.00002%, 0.09214
toronto, 0.00002%, 0.09216
geschichte, 0.00002%, 0.09218
openmesterskabet, 0.00002%, 0.09220
størst, 0.00002%, 0.09211
kommercielle, 0.00002%, 0.09213
ken, 0.00002%, 0.09214
informationer, 0.00002%, 0.09211
forestillinger, 0.00002%, 0.09213
these, 0.00002%, 0.09204
isaksen, 0.00002%, 0.09206
kategoristationer, 0.00002%, 0.09208
papir, 0.00002%, 0.09199
foredrag, 0.00002%, 0.09201
forkortelse, 0.00002%, 0.09197
ministre, 0.00002%, 0.09199
lassen, 0.00002%, 0.09201
july, 0.00002%, 0.09203
overraskende, 0.00002%, 0.09199
ånd, 0.00002%, 0.09201
løjtnant, 0.00002%, 0.09203
come, 0.00002%, 0.09199
fredrik, 0.00002%, 0.09201
medens, 0.00002%, 0.09203
children, 0.00002%, 0.09205
forfremmet, 0.00002%, 0.09201
kategoripolitiske, 0.00002%, 0.09203
wall, 0.00002%, 0.09199
vejledning, 0.00002%, 0.09201
regeringens, 0.00002%, 0.09203
føderale, 0.00002%, 0.09205
deltagende, 0.00002%, 0.09201
desto, 0.00002%, 0.09203
drage, 0.00002%, 0.09205
svenskerne, 0.00002%, 0.09201
metro, 0.00002%, 0.09203
sunget, 0.00002%, 0.09205
inge, 0.00002%, 0.09201
christianshavn, 0.00002%, 0.09203
hal, 0.00002%, 0.09205
roning, 0.00002%, 0.09207
hunter, 0.00002%, 0.09208
ryggen, 0.00002%, 0.09205
opgive, 0.00002%, 0.09207
ralph, 0.00002%, 0.09208
southern, 0.00002%, 0.09210
fremstille, 0.00002%, 0.09201
using, 0.00002%, 0.09203
dyrkede, 0.00002%, 0.09205
faderens, 0.00002%, 0.09207
fakta, 0.00002%, 0.09198
without, 0.00002%, 0.09200
skandinaviske, 0.00002%, 0.09196
motorvej, 0.00002%, 0.09198
regerende, 0.00002%, 0.09200
keith, 0.00002%, 0.09202
same, 0.00002%, 0.09198
winther, 0.00002%, 0.09200
utilities, 0.00002%, 0.09202
tit, 0.00002%, 0.09198
maurice, 0.00002%, 0.09200
skala, 0.00002%, 0.09196
badmintonspiller, 0.00002%, 0.09198
borgerkrigen, 0.00002%, 0.09195
ebbe, 0.00002%, 0.09196
løn, 0.00002%, 0.09193
middelfart, 0.00002%, 0.09195
verdensrangliste, 0.00002%, 0.09191
stiger, 0.00002%, 0.09187
festivalen, 0.00002%, 0.09189
cs, 0.00002%, 0.09191
hovedrollerne, 0.00002%, 0.09187
stats, 0.00002%, 0.09189
kategoridanmarks, 0.00002%, 0.09191
luther, 0.00002%, 0.09193
indiana, 0.00002%, 0.09194
kategoridigtere, 0.00002%, 0.09196
formodentlig, 0.00002%, 0.09193
kjeldjoh, 0.00002%, 0.09194
skjult, 0.00002%, 0.09191
finlands, 0.00002%, 0.09193
landskampe, 0.00002%, 0.09194
kategoriromanforfattere, 0.00002%, 0.09196
grammy, 0.00002%, 0.09193
bemærkninger, 0.00002%, 0.09194
vente, 0.00002%, 0.09191
guardian, 0.00002%, 0.09193
dick, 0.00002%, 0.09189
karakteriseret, 0.00002%, 0.09185
overblik, 0.00002%, 0.09187
secret, 0.00002%, 0.09189
ørsted, 0.00002%, 0.09191
bebyggelser, 0.00002%, 0.09192
demografi, 0.00002%, 0.09189
erstatte, 0.00002%, 0.09191
te, 0.00002%, 0.09192
processer, 0.00002%, 0.09189
baker, 0.00002%, 0.09191
fødevarer, 0.00002%, 0.09187
sammensætning, 0.00002%, 0.09183
licens, 0.00002%, 0.09185
christiansborg, 0.00002%, 0.09187
fremstilles, 0.00002%, 0.09189
objekter, 0.00002%, 0.09185
vendsyssel, 0.00002%, 0.09187
kategorimuseer, 0.00002%, 0.09189
oldtid, 0.00002%, 0.09185
betydningsfulde, 0.00002%, 0.09187
kilden, 0.00002%, 0.09188
tanke, 0.00002%, 0.09190
betty, 0.00002%, 0.09192
color, 0.00002%, 0.09194
rev, 0.00002%, 0.09190
erling, 0.00002%, 0.09192
underskrevet, 0.00002%, 0.09194
blvd, 0.00002%, 0.09195
monument, 0.00002%, 0.09192
glæde, 0.00002%, 0.09193
icon, 0.00002%, 0.09195
placeres, 0.00002%, 0.09192
anført, 0.00002%, 0.09193
jerry, 0.00002%, 0.09195
overdraget, 0.00002%, 0.09197
besætningen, 0.00002%, 0.09193
regional, 0.00002%, 0.09195
pigen, 0.00002%, 0.09197
fall, 0.00002%, 0.09198
ferrari, 0.00002%, 0.09200
wildcard, 0.00002%, 0.09202
encategory, 0.00002%, 0.09204
slesvigske, 0.00002%, 0.09200
hente, 0.00002%, 0.09202
interne, 0.00002%, 0.09203
sygehus, 0.00002%, 0.09205
opbygning, 0.00002%, 0.09202
kredse, 0.00002%, 0.09203
stoppet, 0.00002%, 0.09205
tør, 0.00002%, 0.09201
harvard, 0.00002%, 0.09203
fortalt, 0.00002%, 0.09205
maskiner, 0.00002%, 0.09207
roll, 0.00002%, 0.09208
mi, 0.00002%, 0.09210
vejr, 0.00002%, 0.09206
opfattes, 0.00002%, 0.09208
relateret, 0.00002%, 0.09210
ru, 0.00002%, 0.09212
grene, 0.00002%, 0.09208
nederlandske, 0.00002%, 0.09210
lejre, 0.00002%, 0.09211
etager, 0.00002%, 0.09213
brændt, 0.00002%, 0.09215
unescos, 0.00002%, 0.09211
mændenes, 0.00002%, 0.09213
beskyttede, 0.00002%, 0.09209
indsættes, 0.00002%, 0.09211
aflyst, 0.00002%, 0.09213
kastede, 0.00002%, 0.09215
liggende, 0.00002%, 0.09211
vii, 0.00002%, 0.09213
fb, 0.00002%, 0.09214
cfg, 0.00002%, 0.09216
personerfrakøbenhavn, 0.00002%, 0.09218
lukke, 0.00002%, 0.09214
manglede, 0.00002%, 0.09216
demokratisk, 0.00002%, 0.09212
altinget, 0.00002%, 0.09214
anfører, 0.00002%, 0.09216
lbeck, 0.00002%, 0.09212
statslige, 0.00002%, 0.09214
hills, 0.00002%, 0.09216
kriterier, 0.00002%, 0.09212
føde, 0.00002%, 0.09214
walk, 0.00002%, 0.09210
wright, 0.00002%, 0.09212
præcist, 0.00002%, 0.09213
administrativ, 0.00002%, 0.09215
andersens, 0.00002%, 0.09217
odder, 0.00002%, 0.09219
amtmand, 0.00002%, 0.09215
neutral, 0.00002%, 0.09211
gradvist, 0.00002%, 0.09213
trussel, 0.00002%, 0.09209
ihjel, 0.00002%, 0.09211
smag, 0.00002%, 0.09213
hjul, 0.00002%, 0.09214
grundtvig, 0.00002%, 0.09211
miami, 0.00002%, 0.09212
ordenen, 0.00002%, 0.09209
grundspillet, 0.00002%, 0.09210
afstemningen, 0.00002%, 0.09207
boeing, 0.00002%, 0.09209
next, 0.00002%, 0.09210
ledige, 0.00002%, 0.09212
mitchell, 0.00002%, 0.09214
koret, 0.00002%, 0.09215
kategorialumni, 0.00002%, 0.09212
inkl, 0.00002%, 0.09213
finansielle, 0.00002%, 0.09210
vinduer, 0.00002%, 0.09211
boldklubben, 0.00002%, 0.09213
omkringliggende, 0.00002%, 0.09209
mile, 0.00002%, 0.09206
row, 0.00002%, 0.09207
skibets, 0.00002%, 0.09204
hvorimod, 0.00002%, 0.09205
ødelægge, 0.00002%, 0.09207
santac, 0.00002%, 0.09209
opgivet, 0.00002%, 0.09205
formue, 0.00002%, 0.09201
assens, 0.00002%, 0.09203
forsyninger, 0.00002%, 0.09199
doi, 0.00002%, 0.09201
moder, 0.00002%, 0.09203
tilbud, 0.00002%, 0.09205
floorball, 0.00002%, 0.09206
frandsen, 0.00002%, 0.09208
vilkår, 0.00002%, 0.09204
sts, 0.00002%, 0.09206
sb, 0.00002%, 0.09208
franskmændene, 0.00002%, 0.09209
arizona, 0.00002%, 0.09211
roosevelt, 0.00002%, 0.09213
kostede, 0.00002%, 0.09209
monteret, 0.00002%, 0.09211
selvstændighed, 0.00002%, 0.09213
male, 0.00002%, 0.09214
please, 0.00002%, 0.09216
angår, 0.00002%, 0.09212
udarbejdet, 0.00002%, 0.09214
embedsmænd, 0.00002%, 0.09216
typiske, 0.00002%, 0.09217
olmedaljer, 0.00002%, 0.09219
irish, 0.00002%, 0.09215
almindelighed, 0.00002%, 0.09212
omtalte, 0.00002%, 0.09213
lanceret, 0.00002%, 0.09209
sammenligning, 0.00002%, 0.09211
slutte, 0.00002%, 0.09213
dorothea, 0.00002%, 0.09215
søskende, 0.00002%, 0.09216
østergaard, 0.00002%, 0.09218
personerikraksblåbogafdøde, 0.00002%, 0.09220
vesterbro, 0.00002%, 0.09216
giro, 0.00002%, 0.09218
player, 0.00002%, 0.09214
hong, 0.00002%, 0.09216
umuligt, 0.00002%, 0.09212
dronningen, 0.00002%, 0.09214
svære, 0.00002%, 0.09210
lotte, 0.00002%, 0.09211
senior, 0.00002%, 0.09213
månekratere, 0.00002%, 0.09215
sætning, 0.00002%, 0.09211
edmund, 0.00002%, 0.09213
sjælden, 0.00002%, 0.09214
indian, 0.00002%, 0.09211
forsvarede, 0.00002%, 0.09212
antikken, 0.00002%, 0.09209
fortid, 0.00002%, 0.09210
medierne, 0.00002%, 0.09212
hersker, 0.00002%, 0.09208
bibelen, 0.00002%, 0.09204
hurtige, 0.00002%, 0.09206
forklarer, 0.00002%, 0.09208
german, 0.00002%, 0.09210
nyeste, 0.00002%, 0.09206
beboet, 0.00002%, 0.09207
bureau, 0.00002%, 0.09209
tegnede, 0.00002%, 0.09205
familiens, 0.00002%, 0.09207
kategoriherregårde, 0.00002%, 0.09209
mac, 0.00002%, 0.09205
ingrid, 0.00002%, 0.09207
forskelligt, 0.00002%, 0.09208
hunde, 0.00002%, 0.09210
rolf, 0.00002%, 0.09206
ligget, 0.00002%, 0.09208
hagen, 0.00002%, 0.09210
synspunkt, 0.00002%, 0.09206
uddannelsen, 0.00002%, 0.09207
wcw, 0.00002%, 0.09209
eksistens, 0.00002%, 0.09205
arme, 0.00002%, 0.09207
torv, 0.00002%, 0.09209
embede, 0.00002%, 0.09205
grevskabet, 0.00002%, 0.09207
julian, 0.00002%, 0.09208
muslimer, 0.00002%, 0.09204
bush, 0.00002%, 0.09206
grove, 0.00002%, 0.09202
sektion, 0.00002%, 0.09204
zrich, 0.00002%, 0.09200
sund, 0.00002%, 0.09196
deles, 0.00002%, 0.09198
stærkere, 0.00002%, 0.09200
noveller, 0.00002%, 0.09201
kvartfinalen, 0.00002%, 0.09203
trier, 0.00002%, 0.09199
lån, 0.00002%, 0.09201
fakultet, 0.00002%, 0.09203
beslutter, 0.00002%, 0.09204
dal, 0.00002%, 0.09201
maleriet, 0.00002%, 0.09202
sammenhængende, 0.00002%, 0.09198
bekendt, 0.00002%, 0.09200
sejle, 0.00002%, 0.09202
embedsmand, 0.00002%, 0.09203
insanehacker, 0.00002%, 0.09205
faciliteter, 0.00002%, 0.09201
antages, 0.00002%, 0.09203
trine, 0.00002%, 0.09205
kunder, 0.00002%, 0.09206
artilleri, 0.00002%, 0.09208
military, 0.00002%, 0.09204
pas, 0.00002%, 0.09206
banken, 0.00002%, 0.09207
gjaldt, 0.00002%, 0.09204
borge, 0.00002%, 0.09205
formula, 0.00002%, 0.09207
infrastruktur, 0.00002%, 0.09203
skjern, 0.00002%, 0.09205
plade, 0.00002%, 0.09206
indonesien, 0.00002%, 0.09203
socialt, 0.00002%, 0.09204
yderste, 0.00002%, 0.09206
giersing, 0.00002%, 0.09208
historical, 0.00002%, 0.09204
resterne, 0.00002%, 0.09205
lærde, 0.00002%, 0.09202
utc, 0.00002%, 0.09198
bech, 0.00002%, 0.09199
afhænger, 0.00002%, 0.09195
juul, 0.00002%, 0.09197
søndre, 0.00002%, 0.09193
michigan, 0.00002%, 0.09195
isabella, 0.00002%, 0.09197
bataljon, 0.00002%, 0.09198
sølvmedalje, 0.00002%, 0.09200
fuldstændigt, 0.00002%, 0.09196
henriette, 0.00002%, 0.09198
turner, 0.00002%, 0.09199
skiftende, 0.00002%, 0.09196
makedonien, 0.00002%, 0.09197
actor, 0.00002%, 0.09199
grønlandsk, 0.00002%, 0.09195
mister, 0.00002%, 0.09197
rachel, 0.00002%, 0.09198
fyns, 0.00002%, 0.09200
selskabets, 0.00002%, 0.09202
kendetegnet, 0.00002%, 0.09198
tjene, 0.00002%, 0.09199
klasser, 0.00002%, 0.09201
again, 0.00002%, 0.09197
zoizit, 0.00002%, 0.09199
