słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfai, 0.03732%, 0.03732
marts, 0.00062%, 0.07934
oktober, 0.00062%, 0.07883
sogn, 0.00062%, 0.07935
juli, 0.00061%, 0.07977
sit, 0.00061%, 0.08023
tallet, 0.00061%, 0.08081
erne, 0.00061%, 0.08079
p, 0.00061%, 0.08137
andet, 0.00061%, 0.08179
november, 0.00060%, 0.08170
iwlinks, 0.00060%, 0.08216
cest, 0.00060%, 0.08271
nogle, 0.00060%, 0.08325
km, 0.00059%, 0.08316
december, 0.00058%, 0.08211
kilder, 0.00058%, 0.08211
by, 0.00058%, 0.08236
nye, 0.00056%, 0.08109
kategoripersoner, 0.00056%, 0.08140
gang, 0.00056%, 0.08190
historie, 0.00056%, 0.08231
disse, 0.00056%, 0.08272
kirke, 0.00056%, 0.08305
tilbage, 0.00056%, 0.08348
dem, 0.00055%, 0.08326
februar, 0.00055%, 0.08323
dag, 0.00054%, 0.08312
forskellige, 0.00054%, 0.08358
uden, 0.00054%, 0.08336
vandt, 0.00053%, 0.08281
tid, 0.00053%, 0.08302
både, 0.00052%, 0.08224
hos, 0.00052%, 0.08252
vi, 0.00052%, 0.08278
sine, 0.00052%, 0.08314
navn, 0.00051%, 0.08330
hvilket, 0.00051%, 0.08289
få, 0.00050%, 0.08273
gennem, 0.00050%, 0.08264
ind, 0.00050%, 0.08292
ca, 0.00050%, 0.08340
findes, 0.00050%, 0.08359
d, 0.00049%, 0.08323
kendt, 0.00049%, 0.08334
før, 0.00049%, 0.08367
new, 0.00049%, 0.08368
hentet, 0.00048%, 0.08282
når, 0.00047%, 0.08240
stor, 0.00047%, 0.08270
tyskland, 0.00047%, 0.08259
række, 0.00047%, 0.08233
bl, 0.00046%, 0.08274
ville, 0.00046%, 0.08158
mest, 0.00046%, 0.08202
du, 0.00045%, 0.08214
christian, 0.00045%, 0.08251
side, 0.00045%, 0.08291
hele, 0.00045%, 0.08300
sidste, 0.00045%, 0.08328
fire, 0.00045%, 0.08299
cet, 0.00044%, 0.08230
if, 0.00044%, 0.08223
kategorifodboldspillere, 0.00044%, 0.08264
fc, 0.00044%, 0.08300
derfor, 0.00044%, 0.08321
httpwww, 0.00044%, 0.08361
blive, 0.00043%, 0.08352
or, 0.00042%, 0.08172
ofte, 0.00042%, 0.08210
gik, 0.00042%, 0.08248
mand, 0.00042%, 0.08230
noget, 0.00042%, 0.08263
først, 0.00042%, 0.08268
inden, 0.00042%, 0.08303
ny, 0.00041%, 0.08267
sverige, 0.00041%, 0.08302
spillede, 0.00040%, 0.08178
artikler, 0.00040%, 0.08168
hold, 0.00040%, 0.08200
n, 0.00040%, 0.08152
nr, 0.00039%, 0.08153
frem, 0.00039%, 0.08087
frankrig, 0.00039%, 0.08102
norge, 0.00039%, 0.08126
amerikansk, 0.00039%, 0.08127
alt, 0.00038%, 0.08135
navnet, 0.00038%, 0.08160
peter, 0.00038%, 0.08182
mindre, 0.00038%, 0.08214
hendes, 0.00038%, 0.08249
bedste, 0.00037%, 0.08137
største, 0.00037%, 0.08160
indtil, 0.00037%, 0.08174
b, 0.00037%, 0.08193
igen, 0.00037%, 0.08217
tyske, 0.00037%, 0.08241
john, 0.00037%, 0.08276
gange, 0.00037%, 0.08307
e, 0.00037%, 0.08309
udgivet, 0.00037%, 0.08255
von, 0.00035%, 0.08040
desuden, 0.00035%, 0.07952
søn, 0.00035%, 0.07957
københavns, 0.00035%, 0.07968
grund, 0.00034%, 0.07884
hvad, 0.00034%, 0.07865
medlem, 0.00034%, 0.07816
lille, 0.00034%, 0.07846
større, 0.00033%, 0.07836
spillet, 0.00033%, 0.07840
h, 0.00033%, 0.07852
name, 0.00033%, 0.07878
danmarks, 0.00033%, 0.07910
begyndte, 0.00033%, 0.07914
gamle, 0.00033%, 0.07843
kort, 0.00032%, 0.07839
j, 0.00032%, 0.07849
